电场名称,省,市,区,装机容量(MW),所属企业,所属集团
磨豆山,,,,48.0,中广核玉溪华宁风力发电有限公司,中广核
程子山（含二期）,,,,82.0,三峡新能源云南师宗发电有限公司,三峡集团
竹园西风电,云南省,,,450.0,三峡新能源发电(弥勒)有限责任公司,
竹子山风电,云南省,,,212.8,曲靖龙源新能源有限公司,
竹子山风电（株木山）,,,,212.8,曲靖龙源新能源有限公司,
紫玛风电场,云南省,,,56.25,华电宁蒗新能源开发有限公司,
红土坡、五街,,,,300.0,云南滇能智慧能源有限公司,国家电力投资集团
红河老尖山风电场,云南省,,,131.25,红河云能投新能源开发有限公司,
红石岩（朗目山二期）,,,,49.5,大唐曲靖新能源有限公司,大唐集团
绿水塘风电场,云南省,红河州,弥勒市,55.0,淮河能源（集团）股份有限公司,
罗平山,,,,48.75,大唐洱源风电有限责任公司,大唐集团
罗平西一期（阿岗片区）,,,,50.0,国能龙源罗平新能源有限公司,
羊岔街（南、北）,,,,164.0,中广核玉溪元江风力发电有限公司,中广核
羊雄山（含二期）,,,,99.0,大唐丘北风电有限责任公司,大唐集团
老古山风电场,云南省,,,400.0,曲靖滇能零碳能源开发有限公司,
老寨风电场,云南省,,,220.0,蒙自中能新能源有限公司,其他
老尖山,,,,48.0,大姚云能投新能源开发有限公司,云南能源投资
老尖山风电,云南省,,,130.0,红河云能投新能源开发有限公司,
老屋基风电场,云南省,丽江市,宁蒗县,46.9,华电云南发电有限公司,
老庄科风电场,云南省,,,48.0,中电投丘北京泰新能源有限公司,国家电力投资集团
老座基风电场,云南省,红河州,蒙自市,60.0,淮河能源（集团）股份有限公司,
老西山风电,云南省,,,100.0,三峡云投发电(大姚)有限责任公司,
老路梁子风电,云南省,,,66.0,大唐永善风电有限责任公司,
老青山,,,,49.5,云南滇能智慧能源有限公司,国家电力投资集团
者磨山,,,,45.75,水电十四局大理聚能投资有限公司,中国电建集团
联珠,,,,49.5,大唐普洱新能源有限公司,大唐集团
膳马风电场,云南省,红河州,弥勒市,37.5,淮河能源（集团）股份有限公司,
舍得风电场,云南省,,,363.0,大唐(丘北)新能源有限公司,
苏撒坡,,,,49.5,中电(昆明)新能源发电有限公司,中电中国
苏撒坡风电场,云南省,,,50.0,中电(昆明)新能源发电有限公司,
苏撒坡风电场（二期）（马桑井）,,,,50.0,中电(昆明)新能源发电有限公司,
茅稗田（含二期）,,,,90.0,中广核楚雄大姚风力发电有限公司,中广核
莲花山,,,,42.0,华电(云南)新能源发电有限公司个旧分公司,华电集团
莲花山风电场,云南省,红河州,个旧市,75.0,华电（云南）新能源发电有限公司,
菲古风电,云南省,,,104.0,大唐新能源（文山）有限公司,
蚂蚁山风电场,云南省,红河州,建水县,100.0,云南宏桥新能源有限公司,
蜜蜂山风电场,云南省,,,286.5,大唐(丘北)新能源有限公司,
西泽风电场,云南省,,,210.0,云南宣威国电新能源开发有限公司,
起则风电场,云南省,,,100.0,中广核玉溪华宁风力发电有限公司,
通泉风电场,云南省,,,300.0,马龙云能投新能源开发有限公司,
野牛风电场,云南省,昆明市,东川区,51.0,国投电力控股股份有限公司,
野牛（含二期）,,,,96.0,国投云南新能源有限公司,国投电力
野猫山风电场,云南省,,,0.0,华能澜沧江（祥云）新能源有限公司,
野猫山（含三期）,,,,135.0,华能澜沧江祥云风电有限公司,华能集团
