电场名称,省,市,区,装机容量(MW),所属企业,所属集团
小勐统光伏,,,,70.0,中电建（永德）新能源有限公司,
小坝心光伏,,,,50.0,大唐(丘北)新能源有限公司,
小塘子光伏,,,,200.0,丘北云能投绿色能源开发有限公司,
小暑甸,,,,50.0,兰坪昌盛太阳能科技有限公司,其他
小村岩光伏,,,,54.0,三峡云能发电(华坪)有限公司,
小松棵光伏,,,,70.0,华能新能源（禄丰）有限公司,
小火山光伏,,,,27.0,三峡云能发电（永胜）有限公司,
小石岩光伏（平远光伏）,,,,120.0,华能清洁能源(文山砚山)有限公司,
小禹石沙光伏,,,,110.0,华润新能源(易门)有限公司,
小竹园光伏（小河底）,,,,173.0,大姚云能投绿色能源开发有限公司,
小芦山光伏（普洱大地光伏）,,,,100.0,华能澜沧江(普洱)新能源有限公司,
小营村光伏,,,,50.0,中电建（祥云）新能源开发有限公司,
小西村,,,,20.0,元谋中电电气光伏发电有限公司,国家电力投资集团
小雷钵,,,,17.0,鹤庆鑫华光伏发电有限公司,协鑫新能源
小黑箐光伏（吴海、马游北）,,,,112.7,三峡云投发电（姚安）有限公司,
小黑箐光伏（小黑箐、坛罐窑）,,,,110.0,三峡云投发电(大姚)有限责任公司,
小黑蚂光伏,,,,210.0,水电六局（丘北）新能源有限公司,
小龙洞光伏,,,,360.0,镇康核泰新能源有限公司,
尖山营光伏电站（田心光伏电站）,,,,100.0,大唐武定新能源有限责任公司,
山后光伏,,,,40.0,华宁云能投新能源开发有限公司,
山心光伏,,,,30.0,大唐(丘北)新能源有限公司,
岩头山光伏,,,,108.0,三峡云能发电（宁蒗）有限公司,
岩子脚光伏,,,,240.0,中电建（新平）新能源有限公司,
岩淜,,,,40.0,国投大理光伏发电有限公司,国投电力
岩脚,,,,30.0,宣威市晶科光伏发电有限公司,其他
帕岭光伏（景东江边）,,,,78.0,华能澜沧江(普洱)新能源有限公司,
干口光伏,,,,60.0,华能澜沧江(凤庆)新能源有限公司,
干坝光伏,,,,50.0,元江县乾润新能源有限公司,
干塘子,,,,30.0,三峡新能源宾川发电有限公司,三峡集团
干巴拉,,,,50.0,永仁协合太阳能发电有限公司,中核集团
干海子,,,,20.0,水电十四局大理聚能投资有限公司,中国电建集团
干海资光伏,,,,200.0,华电（双柏）新能源开发有限公司,
干箐,,,,50.0,华坪协合太阳能发电有限公司,中核集团
干龙潭,,,,30.0,云县汇能发电有限责任公司,特变电工
干龙潭光伏（二期）,,,,50.0,云县汇能发电有限责任公司,
平新光伏,,,,450.0,三峡云能发电（元谋）有限公司,
平河光伏,,,,50.0,大唐芒市新能源开发有限公司,
幸福桥光伏（大栗坪）,,,,500.0,华能澜沧江（鹤庆）新能源有限公司,
庆华村光伏电站,,,,30.0,龙源大理风力发电有限公司,
底尼光伏,,,,25.0,易门滇能智慧能源有限公司,
张半山光伏,,,,18.9,易门滇能智慧能源有限公司,
弥兴光伏,,,,297.3,三峡云投发电（姚安）有限公司,
德党光伏,,,,126.0,国能（永德）能源有限公司,
拉古山光伏,,,,110.0,兰坪亚太环宇水电发展有限公司,
拖卓、白石崖,,,,41.0,绿能（富民）太阳能科技有限公司,北京江河源
文雷光伏,,,,19.84,华能澜沧江(普洱)新能源有限公司,
新发光伏（新发药光互补光伏）,,,,120.0,华润新能源(宜良)有限公司,
新发寨光伏,,,,57.92,国能七都建发文山清洁能源有限公司,
新城村光伏,,,,73.0,国能盈江新能源有限公司,
新房子光伏（新）,,,,100.0,三峡巧家新能源有限公司,
新田光伏,,,,120.0,华能澜沧江(普洱)新能源有限公司,
新羊窝头光伏（八棵树、绿荫塘）,,,,285.0,三峡巧家新能源有限公司,
新莲光伏,,,,320.0,国能盈江新能源有限公司,
新葛根地光伏（黑蛇）,,,,75.0,中电双柏新能源有限公司,
方城光伏,,,,190.0,曲靖沾益京西新能源有限公司,
旧寨,,,,20.0,玉溪江川区远盛太阳能科技有限公司,其他
旧市光伏,,,,18.8,五凌新平新能源有限公司,
星光光伏,,,,136.0,宏桥弥勒新能源有限公司,
星火山,,,,30.0,勐海协鑫光伏农业电力有限公司,协鑫新能源
晏家塘光伏,,,,110.0,曲靖沾益京西新能源有限公司,
普乐村光伏电站,,,,50.0,中电建（陆良）新能源有限公司,
普伞坡光伏,,,,60.0,大唐江城新能源有限公司,
普力冲光伏,,,,180.0,元江县乾润新能源有限公司,
普福光伏,,,,70.0,禄劝穗发新能源有限公司,
曼外光伏,,,,70.0,云绿能（勐海）新能源开发有限公司,
曼帕梁子光伏（含二期）,,,,50.0,大唐江城新能源有限公司,
曼景缅光伏,,,,250.0,华能澜沧江(景洪)新能源有限公司,
朝阳,,,,28.0,中国水电顾问集团易门新能源有限公司,中国电建集团
朝阳村光伏,,,,100.0,国能祥云新能源有限公司,
期纳小湾光伏,,,,96.0,三峡云能发电（永胜）有限公司,
木古兰光伏,,,,40.0,中电建（弥渡）新能源有限公司,
木希格光伏,,,,60.48,中广核玉溪元江风力发电有限公司,
木楠光伏,,,,75.0,泸水汇能新能源有限公司,
木香坪光伏,,,,56.0,三峡云能发电（宁蒗）有限公司,
朱坊,,,,50.0,弥渡惠扬农业新能源科技有限公司,国家电力投资集团
李家包包光伏,,,,103.0,会泽华电道成清洁能源开发有限公司,
李家庄光伏,,,,100.0,三峡云投发电(大姚)有限责任公司,
杨家湾光伏,,,,188.0,长电云能发电（永仁）有限公司,
杨柳寨光伏,,,,240.0,宏桥弥勒新能源有限公司,
杨梅坪,,,,21.7,大理瑞德兴阳新能源科技有限公司,其他
松林山光伏,,,,120.0,临沧核祥新能源有限公司,
柳青光伏,,,,120.0,禄丰高峰能源有限公司,
柿坪里光伏（弥勒山、柿坪里、后山村）,,,,303.4,华能澜沧江(大理)新能源有限公司,
栗树坪光伏（阿未席）,,,,92.0,华能澜沧江（永平）新能源有限公司,
格红光伏,,,,120.0,永仁云伊电投能源有限责任公司,
格龙兰光伏,,,,25.0,中广核新能源（普洱）有限公司,
桃园光伏,,,,220.0,华能新能源（禄丰）有限公司,
桃花光伏,,,,90.0,大唐临沧新能源有限公司,
棠梨树,,,,80.0,华能澜沧江（永平）新能源有限公司,
横山光伏电站（西邑东、蒲缥、横山））,,,,400.0,华能保山清洁能源有限公司,
水坪村光伏,,,,100.0,中广核新能源（鹤庆）有限公司,
水子坪,,,,73.8,丽江隆基清洁能源有限公司,三峡集团
水磨光伏,,,,180.0,鲁甸县中新电新能源开发有限公司,
永仁维的,,,,40.0,永仁华电新能源开发有限公司维的光伏发电分公司,华电集团
永和光伏,,,,20.0,华能澜沧江(沧源)新能源有限公司,
永胜桥（大平地）,,,,200.0,大唐（大姚）新能源开发有限公司,
沙河塘光伏（乜六沟、沙河塘）,,,,160.6,会泽华电道成清洁能源开发有限公司,
河外,,,,50.0,元谋绿电新能源开发有限公司,协鑫新能源
河湾光伏,,,,280.0,华能保山清洁能源有限公司,
洛戈底,,,,45.0,蒙自奥特斯维光伏发电有限公司,奥特斯维
洛科光伏（大荒田、大寨、新寨）,,,,85.0,华能澜沧江(景洪)新能源有限公司,
浪戛光伏,,,,600.0,保山市隆阳中能建投新能源有限公司,
海子山光伏,,,,200.0,三峡云能发电（永善）有限公司,
清塘子,,,,30.6,开远弘裕阳光新能源发电有限公司,三峡集团
清岭光伏电站,,,,1250.0,楚雄清岭新能源科技有限公司,其他
清水井光伏,,,,120.0,国能七都建发文山清洁能源有限公司,
温水河光伏（松园村、禾丰、长坪）,,,,230.0,华能澜沧江（鹤庆）新能源有限公司,
火红马路,,,,150.0,三峡云能发电（会泽）有限公司,
热水光伏,,,,149.94,曲靖宣威国电新能源科技有限公司,
爱华镇光伏,,,,100.0,三峡新能源(云县)有限公司,
物茂光伏（帕地）,,,,486.95,华能新能源（元谋）有限公司,
独田箐光伏,,,,90.0,南华云伊电投智慧能源有限公司,
玉光,,,,10.0,曲靖市沾益区安益宝农业科技有限公司,其他
王三冲光伏,,,,18.56,楚雄兴楚新能源开发有限公司,
王官村光伏,,,,50.0,云南能投曲靖发电有限公司,
班幸,,,,35.0,永仁惠光光伏发电有限公司,骏耀新能源
班庄光伏,,,,150.0,信云光能（曲靖）有限公司,
班果,,,,50.0,元谋弘盈新能源发电有限公司,国家电力投资集团
瓦厂光伏,,,,86.0,华能澜沧江(大理)新能源有限公司,
瓦房箐光伏,,,,36.0,三峡云能发电(华坪)有限公司,
瓦折村光伏,,,,30.0,国能南涧新能源有限公司,
甘庄,,,,20.0,元江中电光伏发电有限公司,国家电力投资集团
白土光伏,,,,500.0,三峡新能源峨山县有限公司,
白子寨光伏,,,,15.0,兰坪亚太环宇水电发展有限公司,
白沟林光伏,,,,200.0,三峡巧家新能源有限公司,
白石崖三期,,,,50.0,绿清能(富民)太阳能科技有限公司,北京江河源
百物地光伏（百物地、幸福村）,,,,85.0,华能澜沧江（巍山）新能源有限公司,
盈江光伏电站,,,,150.0,国能盈江新能源有限公司,
益州光伏,,,,50.0,勐海金能新能源有限责任公司,
矣得乐光伏（琅井哨、喜鹊窝、老延家）,,,,195.0,华电(禄丰)新能源开发有限公司,
石万光伏（石洞山）,,,,70.0,宏桥弥勒新能源有限公司,
石咀,,,,20.0,华润新能源光伏发电(弥渡)有限公司,华润
石垭口光伏（巧家小羊窝）,,,,80.0,三峡巧家新能源有限公司,
石头寨光伏（大黑土）,,,,220.0,宏桥弥勒新能源有限公司,
石板箐光伏,,,,200.0,中广核楚雄大姚风力发电有限公司,
石漠化,,,,20.0,石林东旭新能源有限公司,其他
石羊光伏（杨家村、小梨园、大龙潭、宝莲）,,,,350.0,大姚云能投绿色能源开发有限公司,
石腊光伏,,,,125.0,永仁华电新能源开发有限公司,
砚山太科,,,,50.0,砚山太科光伏电力有限公司,中航科技
碧宗,,,,30.0,师宗尚孚義和太阳能投资有限公司,其他
碧溪光伏,,,,235.0,中广核新能源（普洱）有限公司,
磨刀石光伏,,,,30.0,国电电力云南新能源开发有限公司,
秀水井光伏,,,,20.0,三峡巧家新能源有限公司,
秀田,,,,50.0,云南滇能智慧能源有限公司,国家电力投资集团
秧田箐（新村）,,,,202.0,中广核楚雄牟定风力发电有限公司,
积粮冲光伏,,,,50.0,马龙云能投新能源开发有限公司,
立竜（永仁观音岩光伏）,,,,100.0,永仁华电新能源开发有限公司,
竹溪光伏,,,,40.0,云南滇能智慧能源有限公司禄丰分公司,
竹芭山光伏,,,,55.0,华能澜沧江(临沧)新能源有限公司,
红土地光伏,,,,435.0,三峡新能源永胜县有限公司,
红石岩光伏,,,,70.0,魏桥砚山新能源有限公司,
红花山光伏,,,,115.0,大唐(丘北)新能源有限公司,
纳古光伏,,,,100.0,华能澜沧江（德钦）新能源有限公司,
绿茵塘光伏,,,,99.6,云南金能新能源有限公司,
罗文光伏,,,,100.0,华能南华风力发电有限公司,
罗明光伏（联合、罗明、杨柳）,,,,700.0,华能保山清洁能源有限公司,
罗杞打光伏,,,,60.0,楚雄市聚熠新能源有限公司,
罗武庄光伏,,,,240.0,中电南华新能源有限责任公司,
翠华光伏,,,,200.0,禄劝东电太阳能发电有限公司,
老西山风电,,,,37.5,三峡云投发电(大姚)有限责任公司,
老鹰岩四期（老务坪）,,,,50.0,云南大唐国际宾川新能源有限责任公司,
老鹰岩（含三期）,,,,100.0,云南大唐国际宾川新能源有限责任公司,大唐集团
肖家山光伏,,,,150.0,宾川龙源新能源有限公司,
芒街,,,,20.0,孟连三犇新能源开发有限公司,其他
芝麻,,,,50.0,元谋惠光光伏发电有限公司,国家电力投资集团
芦子村光伏,,,,50.0,国能祥云新能源有限公司,
花鱼洞光伏,,,,25.0,中电建（弥渡）新能源有限公司,
苏子塘光伏,,,,90.0,耿马孟润新能源科技有限责任公司,
英雄村光伏,,,,295.0,京江（双柏）新能源有限公司,
茂克光伏,,,,90.0,国能七都建发文山清洁能源有限公司,
茂兰光伏,,,,200.0,云县乾润新能源有限公司,
茂创转山包,,,,30.0,昭通茂创能源开发有限公司,其他
茶花箐光伏,,,,193.28,禄劝万佳光伏发电有限公司,
荞地光伏电站（巧家海坝）,,,,240.0,三峡云能巧家发电有限公司,
荣华光伏（泸水华电）,,,,65.0,华电泸水新能源开发有限公司,
药灵山光伏,,,,139.84,嵩明熙昆新能源有限公司,
菱角光伏,,,,100.0,华能清洁能源（曲靖沾益）有限公司,
菱角光伏二三期,,,,250.0,华能清洁能源（曲靖沾益）有限公司,
营口光伏,,,,140.0,昭通发展新能源投资有限公司,
营山光伏,,,,45.0,三峡云能发电（永胜）有限公司,
营盘山光伏,,,,50.0,大唐思茅新能源有限公司,
董干光伏,,,,150.0,中广核新能源(麻栗坡)有限公司,
葫芦地光伏,,,,20.0,华宁云能投新能源开发有限公司,
蒋家坡光伏,,,,316.0,三峡新能源云南师宗发电有限公司,
藤蔑山光伏,,,,220.0,华能澜沧江(勐腊)新能源有限公司,
虎溪村光伏（罗兴村）,,,,130.0,华能新能源（元谋）有限公司,
蚂蚁堆光伏,,,,70.0,临沧南水北调新能源有限责任公司,
西村,,,,100.0,中电大理(西村)光伏发电有限公司,中电中国
西街口,,,,46.5,华能新能源石林光伏发电有限公司,华能集团
西街口光伏三期,,,,54.0,华能新能源石林光伏发电有限公司,
角家村光伏,,,,180.0,昆明东川区乾润新能源有限公司,
谢腊光伏,,,,230.0,永仁风光新能源科技有限责任公司,
邑拉光伏电站,,,,75.0,京能（元江）新能源有限公司,
那丙田光伏,,,,160.0,普洱市思茅中电新能源有限公司,
那依光伏,,,,84.0,宏桥开远新能源有限公司,
那朵光伏,,,,100.0,广南广赫新能源有限公司,
郑家村光伏,,,,50.0,陆良云伊电投能源有限公司,
金古麦光伏,,,,170.0,华电（玉龙）新能源开发有限公司,
金姑窝子光伏,,,,60.0,华电宁蒗新能源开发有限公司,
金山光伏,,,,150.0,华能新能源（新平）有限公司,
金河光伏,,,,130.0,华能新能源（元谋）有限公司,
金甲邑光伏,,,,70.0,兰坪华电新能源开发有限公司,
钢家岭,,,,20.0,禄劝县爱康能源电力有限公司,智光人才
铁城坡（前所农光互补）,,,,80.0,宾川华电新能源有限公司,
银厂沟光伏,,,,70.0,华电宁蒗新能源开发有限公司,
镜湖光伏电站,,,,129.92,峨山鑫能光伏发电有限公司,
长冲,,,,20.0,楚雄长翔光伏发电有限公司,其他
长坝口光伏,,,,60.0,华电宁蒗新能源开发有限公司,
长坡岭,,,,30.0,弥渡洁源新能源发电有限公司,其他
长岭岗光伏,,,,77.0,宏桥开远新能源有限公司,
长虹桥光伏,,,,73.0,宏桥开远新能源有限公司,
