省,市,区,电场名称,电场类型,装机容量MW,企业,所属集团
云南省,大理白族自治州,云龙县,黑场光伏发电项目(二期),光伏,30,中广核风电有限公司(云南贝特瑞新能源材料有限公司),中广核(中国宝安集团)
云南省,大理白族自治州,云龙县,下水井光伏发电项目,光伏,80,中广核风电有限公司(云南贝特瑞新能源材料有限公司),中广核(中国宝安集团)
云南省,大理白族自治州,云龙县,石头村光伏发电项目,光伏,15,中广核风电有限公司(云南贝特瑞新能源材料有限公司),中广核(中国宝安集团)
云南省,大理白族自治州,洱源县,老地沟光伏发电项目,光伏,80,中广核风电有限公司(云南贝特瑞新能源材料有限公司),中广核(中国宝安集团)
云南省,大理白族自治州,鹤庆县,响水河光伏发电项目,光伏,40,中广核风电有限公司,中广核
云南省,大理白族自治州,云龙县,河东光伏发电项目,光伏,140,中广核风电有限公司(云南贝特瑞新能源材料有限公司),中广核(中国宝安集团)
云南省,大理白族自治州,大理市,光邑村光伏发电项目,光伏,20,华能澜沧江水电股份有限公司,华能
云南省,大理白族自治州,大理市,柿坪里光伏发电项目二期,光伏,30,华能澜沧江水电股份有限公司,华能
云南省,大理白族自治州,鹤庆县,均华(南边田场址)光伏发电项目,光伏,50,中国电力工程顾问集团有限公司,中国能建
云南省,大理白族自治州,南涧县,营盘村光伏发电项目,光伏,60,华能澜沧江水电股份有限公司,华能
云南省,大理白族自治州,南涧县,营地村光伏发电项目,光伏,35,华能澜沧江水电股份有限公司,华能
云南省,大理白族自治州,漾濞县,断山基地光伏发电项目,光伏,40,华能澜沧江水电股份有限公司,华能
云南省,大理白族自治州,漾濞县,淮安光伏发电项目,光伏,20,华能澜沧江水电股份有限公司,华能
云南省,大理白族自治州,漾濞县,构皮光伏发电项目,光伏,80,华能澜沧江水电股份有限公司,华能
云南省,大理白族自治州,南涧县,龙街光伏发电项目,光伏,130,华能澜沧江水电股份有限公司,华能
云南省,大理白族自治州,南涧县,保舍么光伏发电项目,光伏,80,华能澜沧江水电股份有限公司,华能
云南省,大理白族自治州,南涧县,德安光伏发电项目,光伏,70,华能澜沧江水电股份有限公司,华能
云南省,大理白族自治州,南涧县,板桥光伏发电项目,光伏,70,华能澜沧江水电股份有限公司,华能
云南省,大理白族自治州,南涧县,沙乐光伏发电项目,光伏,60,华能澜沧江水电股份有限公司,华能
云南省,大理白族自治州,南涧县,可保光伏发电项目,光伏,80,华能澜沧江水电股份有限公司,华能
云南省,大理白族自治州,云龙县,大村光伏发电项目,光伏,150,华能澜沧江水电股份有限公司,华能
云南省,大理白族自治州,云龙县,双河光伏发电项目,光伏,80,华能澜沧江水电股份有限公司,华能
云南省,大理白族自治州,鹤庆县,银河光伏发电项目,光伏,35,华能澜沧江水电股份有限公司,华能
云南省,曲靖市,会泽县,铃铛山光伏发电项目,光伏,113,华电云南发电有限公司,华电
云南省,曲靖市,罗平县,富乐光伏发电项目,光伏,60,华能重庆珺璟发电有限责任公司,华能
云南省,曲靖市,马龙区,色甲光伏发电项目,光伏,20,云南能源投资股份有限公司,云南能投
云南省,曲靖市,陆良县,栗树园村光伏发电项目,光伏,50,国投电力控股股份有限公司,国投
云南省,曲靖市,陆良县,杨梅山光伏发电项目,光伏,30,国投电力控股股份有限公司,国投
云南省,曲靖市,陆良县,罗贡村光伏发电项目,光伏,150,国投电力控股股份有限公司,国投
云南省,曲靖市,陆良县,甘和光伏发电项目,光伏,50,国投电力控股股份有限公司,国投
云南省,曲靖市,陆良县,小堡子光伏发电项目,光伏,150,国投电力控股股份有限公司,国投
云南省,曲靖市,罗平县,阿岗光伏发电项目,光伏,81.7,大唐云南发电有限公司,大唐
云南省,曲靖市,宣威市,宣威市新村光伏发电项目,光伏,40,中煤绿能科技（北京）有限公司,中国中煤
云南省,曲靖市,会泽县,盐塘光伏发电项目,光伏,96,华电云南发电有限公司,华电
云南省,曲靖市,会泽县,罗家村光伏发电项目,光伏,48,华电云南发电有限公司,华电
云南省,曲靖市,会泽县,迤乐迷光伏发电项目,光伏,62,华电云南发电有限公司,华电
云南省,曲靖市,会泽县,酒房村光伏发电项目,光伏,99,华电云南发电有限公司,华电
