原始图片,省,市,经度,纬度,POI
103343_56094.jpg,云南省,曲靖市,103.84055,25.088852,大水井坝
103368_56066.jpg,云南省,曲靖市,103.90991,25.159365,杨梅山脑子
103685_56150.jpg,云南省,曲靖市,104.781906,24.949537,大堡
103371_56051.jpg,云南省,曲靖市,103.917946,25.196087,毕家山
103393_55918.jpg,云南省,曲靖市,103.980194,25.527073,团垴子
103514_55822.jpg,云南省,曲靖市,104.31129,25.764503,小白岩
103535_55759.jpg,云南省,曲靖市,104.36935,25.918634,光梁子
103631_55646.jpg,云南省,曲靖市,104.631645,26.198992,观音箐
103320_56161.jpg,云南省,曲靖市,103.77799,24.922707,刘家房子
103330_56162.jpg,云南省,曲靖市,103.805336,24.920681,V079
103536_55852.jpg,云南省,曲靖市,104.37211,25.690084,槽箐头隧道
103631_55906.jpg,云南省,曲靖市,104.631874,25.556673,大营
103523_55809.jpg,云南省,曲靖市,104.335846,25.79629,杨梅山
103532_55852.jpg,云南省,曲靖市,104.36051,25.689259,腊子岩
103674_55567.jpg,云南省,曲靖市,104.75002,26.393522,纸厂梁子
103525_55802.jpg,云南省,曲靖市,104.34204,25.813063,祭羊山
103384_56035.jpg,云南省,曲靖市,103.95391,25.235237,系腰山
103363_56067.jpg,云南省,曲靖市,103.89565,25.156847,龙家水塘坝
103379_56054.jpg,云南省,曲靖市,103.93932,25.188734,鸟八彝大山
103628_55691.jpg,云南省,曲靖市,104.62544,26.08723,发耳坪
103632_55655.jpg,云南省,曲靖市,104.63577,26.175426,公厕
103390_55916.jpg,云南省,曲靖市,103.97174,25.53089,Y079
103338_56117.jpg,云南省,曲靖市,103.827385,25.032871,花木山
103632_55664.jpg,云南省,曲靖市,104.63412,26.155209,马家深沟
103331_56138.jpg,云南省,曲靖市,103.80892,24.978878,大水塘－赖台子公路
103373_55948.jpg,云南省,曲靖市,103.92332,25.45236,尖山
103541_55827.jpg,云南省,曲靖市,104.38468,25.752474,老黑山
103640_55701.jpg,云南省,曲靖市,104.656334,26.06237,小米箩
103321_56158.jpg,云南省,曲靖市,103.78045,24.929213,刘家房子
103319_56153.jpg,云南省,曲靖市,103.77523,24.943634,羊厩房线
103359_56061.jpg,云南省,曲靖市,103.88542,25.172403,小尖山
103311_56172.jpg,云南省,曲靖市,103.75287,24.895273,大黑箐
103595_55858.jpg,云南省,曲靖市,104.53413,25.6739,三道河
103331_56132.jpg,云南省,曲靖市,103.80782,24.994303,大水塘－赖台子公路
103537_55854.jpg,云南省,曲靖市,104.37292,25.685108,槽箐头隧道
103672_56158.jpg,云南省,曲靖市,104.74477,24.929655,上后河
103680_55571.jpg,云南省,曲靖市,104.76789,26.382866,五家寨
103513_55825.jpg,云南省,曲靖市,104.30926,25.757378,小白岩
103631_55690.jpg,云南省,曲靖市,104.63249,26.089733,平头山
103535_55841.jpg,云南省,曲靖市,104.36979,25.717932,凤湾村
103387_56041.jpg,云南省,曲靖市,103.962105,25.221142,孬坡上
103348_56098.jpg,云南省,曲靖市,103.855385,25.07836,白石岩
103675_55567.jpg,云南省,曲靖市,104.75419,26.392603,纸厂梁子
103518_55825.jpg,云南省,曲靖市,104.322365,25.756483,关鸠坪
103363_56063.jpg,云南省,曲靖市,103.89702,25.167048,长冲
103597_55857.jpg,云南省,曲靖市,104.53759,25.677382,三道河
103510_55835.jpg,云南省,曲靖市,104.299866,25.731386,沙锅冲
103375_56144.jpg,云南省,曲靖市,103.93053,24.965101,杨梅山
103519_55824.jpg,云南省,曲靖市,104.32477,25.758461,W8BC520222
103371_55910.jpg,云南省,曲靖市,103.91741,25.546492,石垭口
103519_55823.jpg,云南省,曲靖市,104.32556,25.76093,一把伞
103367_56068.jpg,云南省,曲靖市,103.90682,25.153088,杨梅山脑子
103533_55864.jpg,云南省,曲靖市,104.36371,25.660471,跑马坪子
103547_55811.jpg,云南省,曲靖市,104.40174,25.790134,羊洞
103335_56140.jpg,云南省,曲靖市,103.820595,24.975159,大水塘－赖台子公路
103337_56097.jpg,云南省,曲靖市,103.82416,25.082504,大山头
103334_56085.jpg,云南省,曲靖市,103.81582,25.11271,龙海山
103669_55565.jpg,云南省,曲靖市,104.736984,26.396778,大箐头
103346_56100.jpg,云南省,曲靖市,103.84967,25.075436,烟坡－白大线雨麦红村岔口公路
103362_56072.jpg,云南省,曲靖市,103.893036,25.143843,龙家水塘坝
103349_56096.jpg,云南省,曲靖市,103.857956,25.084068,沙锅新村
103695_56130.jpg,云南省,曲靖市,104.807205,25.000685,罗家塆子
103334_56143.jpg,云南省,曲靖市,103.81609,24.968313,垃出坡
103372_56145.jpg,云南省,曲靖市,103.92018,24.96234,滴水塘
103684_55568.jpg,云南省,曲靖市,104.77908,26.39102,银厂坡
103329_56131.jpg,云南省,曲靖市,103.80325,24.997244,直沟
103336_56088.jpg,云南省,曲靖市,103.822296,25.104181,资家大山
103347_56150.jpg,云南省,曲靖市,103.851425,24.950953,葛根塘
103695_56126.jpg,云南省,曲靖市,104.80936,25.00904,罗家塆子
103539_55763.jpg,云南省,曲靖市,104.38013,25.910145,他石公路
103541_55832.jpg,云南省,曲靖市,104.384514,25.73984,岗寨村
103522_55821.jpg,云南省,曲靖市,104.331955,25.766878,一把伞
103366_56149.jpg,云南省,曲靖市,103.90436,24.95157,滴水塘小学
103519_55830.jpg,云南省,曲靖市,104.3244,25.74524,关鸠坪
103520_55816.jpg,云南省,曲靖市,104.32631,25.778278,一把伞
103678_55571.jpg,云南省,曲靖市,104.7613,26.383747,独木箐
103324_56159.jpg,云南省,曲靖市,103.7886,24.927149,石板塘
103562_55898.jpg,云南省,曲靖市,104.44364,25.576368,关睢村
103630_55695.jpg,云南省,曲靖市,104.630684,26.07808,大海子
103331_56139.jpg,云南省,曲靖市,103.80965,24.976519,垃出坡
103355_56070.jpg,云南省,曲靖市,103.874115,25.149504,方家坟
103632_55659.jpg,云南省,曲靖市,104.636345,26.167542,十方·云舍民宿
103316_56165.jpg,云南省,曲靖市,103.76817,24.912733,大山
103332_56139.jpg,云南省,曲靖市,103.81128,24.977499,大水塘－赖台子公路
103565_55900.jpg,云南省,曲靖市,104.45063,25.570845,关睢
103389_55919.jpg,云南省,曲靖市,103.96671,25.524483,Y079
103377_55876.jpg,云南省,曲靖市,103.93353,25.631144,马鞍山
103525_55805.jpg,云南省,曲靖市,104.34023,25.806238,祭羊山
103542_55823.jpg,云南省,曲靖市,104.386795,25.760838,老黑山
103371_56054.jpg,云南省,曲靖市,103.91838,25.188864,火烧青垴子
103370_56057.jpg,云南省,曲靖市,103.91595,25.18178,三角山
103343_56097.jpg,云南省,曲靖市,103.84244,25.081034,大水井坝
103679_55567.jpg,云南省,曲靖市,104.76454,26.393938,曹罗坪子
103684_56144.jpg,云南省,曲靖市,104.77735,24.964447,兴义市七舍镇卫生院革上医疗点
103334_56145.jpg,云南省,曲靖市,103.81651,24.96251,口子上
103325_56151.jpg,云南省,曲靖市,103.79271,24.94853,陆水线
103363_56065.jpg,云南省,曲靖市,103.89647,25.161676,癞子山
103600_55858.jpg,云南省,曲靖市,104.547615,25.674463,二道箐
103363_55947.jpg,云南省,曲靖市,103.89625,25.45504,大东山
103373_55886.jpg,云南省,曲靖市,103.92489,25.605616,关牛洞水库
103643_55904.jpg,云南省,曲靖市,104.665306,25.562078,雨打河
103372_55897.jpg,云南省,曲靖市,103.920555,25.579306,花箐梁子
103361_56075.jpg,云南省,曲靖市,103.88988,25.135628,蜂子山
103328_56149.jpg,云南省,曲靖市,103.79926,24.952465,双坝塘入口－陆水线大水塘学校口公路
103371_56053.jpg,云南省,曲靖市,103.91746,25.191069,火烧青垴子
103349_56095.jpg,云南省,曲靖市,103.85811,25.0867,沙锅新村
103354_56084.jpg,云南省,曲靖市,103.87056,25.11461,小石角山
103366_56148.jpg,云南省,曲靖市,103.90357,24.954176,滴水塘小学
103631_55636.jpg,云南省,曲靖市,104.63281,26.22232,何家岩洞
103387_56139.jpg,云南省,曲靖市,103.961655,24.977064,硝洞
103621_55673.jpg,云南省,曲靖市,104.60615,26.132284,牛棚梁子
103396_55360.jpg,云南省,曲靖市,103.98838,26.901646,菩萨树
103315_56169.jpg,云南省,曲靖市,103.76518,24.903557,新眉毛山
103638_55700.jpg,云南省,曲靖市,104.65115,26.064663,S77
103672_55564.jpg,云南省,曲靖市,104.74425,26.399443,纸厂梁子
103523_55801.jpg,云南省,曲靖市,104.336815,25.81639,浑水塘
103381_56047.jpg,云南省,曲靖市,103.945694,25.206676,关门山
103686_55574.jpg,云南省,曲靖市,104.78459,26.376226,苏都
103511_55837.jpg,云南省,曲靖市,104.3024,25.726166,仙鹅抱蛋
103343_56158.jpg,云南省,曲靖市,103.841896,24.930468,云南众成爨玉实业有限公司
103373_55910.jpg,云南省,曲靖市,103.92265,25.5468,石垭口
103541_55825.jpg,云南省,曲靖市,104.38551,25.75594,老黑山
103522_55810.jpg,云南省,曲靖市,104.331894,25.793526,兴寨
103513_55828.jpg,云南省,曲靖市,104.30946,25.749096,中安河
103371_55903.jpg,云南省,曲靖市,103.91927,25.563097,小营盘
103629_55692.jpg,云南省,曲靖市,104.62676,26.08557,发耳坪
103518_55827.jpg,云南省,曲靖市,104.32114,25.752264,关鸠坪
103323_56173.jpg,云南省,曲靖市,103.786835,24.892036,老眉毛山
103331_56142.jpg,云南省,曲靖市,103.80778,24.970306,腊处
103327_56136.jpg,云南省,曲靖市,103.79857,24.985043,大咀子村
103534_55752.jpg,云南省,曲靖市,104.36711,25.937038,郎杂
103542_55822.jpg,云南省,曲靖市,104.38888,25.764479,老黑山
103625_55663.jpg,云南省,曲靖市,104.61712,26.155699,乌蒙滑雪场
103518_55819.jpg,云南省,曲靖市,104.32124,25.770462,一把伞
103331_56189.jpg,云南省,曲靖市,103.80798,24.85193,大堵杂
103522_55822.jpg,云南省,曲靖市,104.33275,25.764977,W8BC520222
103334_56154.jpg,云南省,曲靖市,103.81666,24.939959,芦房窝棚
103369_56063.jpg,云南省,曲靖市,103.9117,25.166656,癞子山
103616_55432.jpg,云南省,曲靖市,104.59047,26.724632,园菁脚
103385_56042.jpg,云南省,曲靖市,103.95567,25.21925,孬坡上
103643_55697.jpg,云南省,曲靖市,104.66472,26.073427,大丫口
103363_55353.jpg,云南省,曲靖市,103.89488,26.918713,水井弯子
103521_55803.jpg,云南省,曲靖市,104.32988,25.810776,烧灰冲
103643_55695.jpg,云南省,曲靖市,104.66522,26.078485,大丫口
103368_56062.jpg,云南省,曲靖市,103.91058,25.168814,癞子山
103359_56077.jpg,云南省,曲靖市,103.88505,25.131771,蜂子山
103630_55633.jpg,云南省,曲靖市,104.630844,26.230701,盘州滑雪场
103562_55894.jpg,云南省,曲靖市,104.44305,25.58624,上冠鸡
103343_56100.jpg,云南省,曲靖市,103.84234,25.074121,烟坡－白大线雨麦红村岔口公路
103335_56185.jpg,云南省,曲靖市,103.81956,24.863346,始羊山
103632_55906.jpg,云南省,曲靖市,104.636215,25.556221,屯背后
103395_55919.jpg,云南省,曲靖市,103.98511,25.524853,团垴子
103624_55665.jpg,云南省,曲靖市,104.61199,26.15226,天龙宝羊汤锅
103335_56092.jpg,云南省,曲靖市,103.81841,25.094711,大山头
103358_56176.jpg,云南省,曲靖市,103.882576,24.885864,鱼膜龙
